Index Annotation Celltype Tissue Type Category Path
1 RectalMucosa.stretchEnhancer RectalMucosa RectalMucosa stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/RectalMucosa.stretchEnhancer.bed
2 SubstantiaNigra.stretchEnhancer SubstantiaNigra SubstantiaNigra stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/SubstantiaNigra.stretchEnhancer.bed
3 hASC-t2.stretchEnhancer hASC-t2 hASC-t2 stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/hASC-t2.stretchEnhancer.bed
4 InferiorTemporalLobe.stretchEnhancer InferiorTemporalLobe InferiorTemporalLobe stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/InferiorTemporalLobe.stretchEnhancer.bed
5 DuodenumMucosa.stretchEnhancer DuodenumMucosa DuodenumMucosa stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/DuodenumMucosa.stretchEnhancer.bed
6 MidFrontalLobe.stretchEnhancer MidFrontalLobe MidFrontalLobe stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/MidFrontalLobe.stretchEnhancer.bed
7 endoC.stretchEnhancer endoC endoC stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/endoC.stretchEnhancer.bed
8 HippocampusMiddle.stretchEnhancer HippocampusMiddle HippocampusMiddle stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/HippocampusMiddle.stretchEnhancer.bed
9 CingulateGyrus.stretchEnhancer CingulateGyrus CingulateGyrus stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/CingulateGyrus.stretchEnhancer.bed
10 RectalSmoothMuscle.stretchEnhancer RectalSmoothMuscle RectalSmoothMuscle stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/RectalSmoothMuscle.stretchEnhancer.bed
11 Islets.stretchEnhancer Islets Islets stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/Islets.stretchEnhancer.bed
